Service_ID,Name,Category,Description,Location,Cost,Eligibility,Contact,Provider,Source,UserRating,FriendlyScore,EfficientScore,EasyToUnderstandScore,AccessibilityScore,Phone,Email,Website,Organization,ContactPerson,AreaOfVictoria,TransitAccess,AccessMode,FeeType,ChatAvailable,FAQAvailable,Address,VerificationStatus,LastVerified
11,Senior Peer Support,Social Activities,Volunteer phone calls and home visits for seniors who feel lonely or isolated. A friendly voice makes a big difference.,Victoria,Free,Seniors experiencing loneliness or isolation,Phone: 250-386-6313,Victoria Seniors Housing Society,Community Source,4,4,3,4,3,250-386-6313,info@vshsociety.ca,,Victoria Seniors Housing Society,Volunteer Coordinator,Victoria,Yes,In person,Free,No,No,"234 Gorge Road W, Victoria BC",AI reviewed,2026-04-01
12,Transportation Access Program,Transportation,Subsidized rides for seniors to medical appointments grocery stores and community events across Greater Victoria.,Victoria,Low-cost,Seniors 65 and older in Greater Victoria,Phone: 250-477-3535,Volunteer Victoria,Community Source,4,4,4,4,3,250-477-3535,info@volunteervictoria.bc.ca,https://www.volunteervictoria.bc.ca,Volunteer Victoria,Transport Coordinator,Greater Victoria,Yes,In person,Partial pay,No,No,"851 Broughton St, Victoria BC",AI reviewed,2026-04-01
13,Assisted Living Residences,Housing,A home with support — meals housekeeping and personal care for seniors who want independence with a safety net.,Victoria,Paid,Seniors who need daily support but not full nursing care,Phone: 250-370-8699,Island Health,Health Authority,4,5,3,4,3,250-370-8699,,https://www.islandhealth.ca/assisted-living,Island Health,Placement Team,Greater Victoria,Yes,In person,Private pay,No,Yes,"1952 Bay St, Victoria BC",Verified,2026-04-01
14,Greater Victoria Food Bank,Food & Nutrition,Free food hampers for anyone who needs them. No questions asked — pick up weekly at a location near you.,Victoria,Free,Low-income individuals and families,Phone: 250-386-7687,Greater Victoria Food Bank,Community Source,3,4,4,4,4,250-386-7687,info@victoriafoodbank.ca,https://www.victoriafoodbank.ca,Greater Victoria Food Bank,Client Services,Victoria Downtown,Yes,In person,Free,No,Yes,"3213 Tennyson Ave, Victoria BC",Verified,2026-04-01
15,Mental Health Support Line,Health & Home Care,Free 24/7 phone support for anyone feeling stressed anxious or overwhelmed. Counsellors are always available.,Victoria,Free,All residents including seniors,Phone: 310-6789,Island Health,Government/Health,4,4,3,5,4,310-6789,,https://www.islandhealth.ca/mental-health,Island Health,Crisis Line,Greater Victoria,Yes,Phone,Free,No,Yes,Phone service — call 310-6789,Verified,2026-04-01
16,Caregiver Support Program,Health & Home Care,Resources education and rest time for people caring for a senior or family member. You deserve support too.,Victoria,Free,Caregivers of seniors or people with disabilities,Phone: 250-477-3535,Caregiver Support Society of BC,Community Source,4,4,3,4,4,250-477-3535,info@caregiversociety.bc.ca,https://www.caregiversociety.bc.ca,Caregiver Support Society of BC,Program Lead,Greater Victoria,Yes,In person/Online,Free,Yes,Yes,"259 Gorge Road E, Victoria BC",Verified,2026-04-01
17,Seniors Legal Assistance,Emergency,Free legal advice for seniors dealing with housing issues elder abuse or money problems. Confidential and easy.,Victoria,Free,Seniors 60 and older,Phone: 250-385-1551,Legal Aid BC,Government/Legal,4,4,4,4,4,250-385-1551,seniors@legalaid.bc.ca,https://legalaid.bc.ca/legal-aid/seniors-legal-services,Legal Aid BC,Intake Lawyer,Victoria Downtown,Yes,In person/Phone,Free,No,Yes,"747 Fort St, Victoria BC",Verified,2026-04-01
18,Personal Emergency Alert,Emergency,A small button you wear that connects you to help the moment you press it — at home or anywhere you go.,Victoria,Low-cost,Seniors living alone or with safety concerns,Phone: 1-800-387-8122,Lifeline Canada,BC211,4,4,4,4,3,1-800-387-8122,,https://www.lifeline.ca,Philips Lifeline,Sales Team,Greater Victoria,Yes,In person,Partial pay,Yes,Yes,Device delivered to your home,Verified,2026-04-01
19,BC Housing Registry,Housing,Find affordable housing in Greater Victoria. Staff connect you with subsidized and supportive housing options.,Victoria,Free,Low-income individuals and seniors,Phone: 604-439-4729,BC Housing,Government BC,4,5,3,4,4,604-439-4729,housing@bchousing.org,https://www.bchousing.org/housing-assistance/social-housing/housing-registry,BC Housing,Registry Team,Greater Victoria,Yes,Online,Free,Yes,Yes,"3480 Gilmore Way, Burnaby BC",Verified,2026-04-01
20,Recreation & Fitness Programs,Recreation,Fitness classes and social activities for seniors — aquafit yoga walking clubs and crafts. Something for everyone.,Victoria,Low-cost,Seniors,Phone: 250-361-0600,City of Victoria Recreation,Community Source,5,3,4,4,4,250-361-0600,,https://www.victoria.ca/recreation,City of Victoria Recreation,Registration Desk,Victoria Downtown,Yes,In person,Partial pay,No,Yes,"1 Central Park Dr, Victoria BC",Verified,2026-04-01
21,HandyDART Booking,Transportation,Book your accessible door-to-door bus ride for medical appointments and errands. Easy to book by phone.,Victoria,Low-cost,Seniors and people with disabilities,Phone: 250-727-7811,BC Transit,BC211,4,3,4,4,5,250-727-7811,,https://www.bctransit.com/victoria/handydart,BC Transit,Booking Line,Greater Victoria,Yes,In person,Partial pay,No,Yes,"520 Gorge Road East, Victoria BC",Verified,2026-04-01
22,Free Tax Help for Seniors,Taxes & Administrative Support,Trained volunteers file your income tax for free — quickly and correctly. No cost ever. Bring your slips.,Victoria,Free,Seniors with simple tax returns,Phone: 250-386-3393,CRA Volunteer Tax Program,Government BC,4,4,4,5,4,250-386-3393,,https://www.canada.ca/cra-volunteer-tax,CRA Community Volunteer Income Tax Program,Tax Volunteer Coordinator,Victoria,Yes,In person,Free,No,Yes,"625 Fisgard St, Victoria BC",Verified,2026-04-01
23,Grocery Delivery for Seniors,Food & Nutrition,Free grocery delivery for seniors who cannot leave home. Nutritious food brought right to your door.,Victoria,Free,Homebound seniors 65 and older,Phone: 250-386-6313,Volunteer Victoria,Community Source,3,4,4,5,5,250-386-6313,,,Volunteer Victoria,Grocery Program Lead,Victoria,Yes,In person,Free,No,No,"851 Broughton St, Victoria BC",AI reviewed,2026-04-01
24,Wheelchair and Walker Loan,Mobility,Borrow a wheelchair walker cane or other equipment for free — for as long as you need it.,Victoria,Free,Seniors and people with mobility challenges,Phone: 250-385-7521,Canadian Red Cross,Health Authority,3,5,3,4,5,250-385-7521,victoria@redcross.ca,https://www.redcross.ca/health-equipment-loan,Canadian Red Cross Victoria,Equipment Loan Desk,Victoria,Yes,In person,Free,No,Yes,"1640 Oak Bay Ave, Victoria BC",Verified,2026-04-01
25,Senior Fitness Classes,Recreation,Gentle exercise classes for seniors — chair yoga light stretching and aquafit. Safe fun and social.,Victoria,Low-cost,Seniors 55 and older,Phone: 250-361-0600,City of Victoria Recreation,Community Source,5,4,4,4,4,250-361-0600,,https://www.victoria.ca/recreation,City of Victoria Recreation,Class Coordinator,Victoria Downtown,Yes,In person,Partial pay,No,Yes,"1 Central Park Dr, Victoria BC",Verified,2026-04-01
26,Alzheimer Society Support,Social Activities,Support groups information and help for people with dementia and their families. You are not alone.,Victoria,Free,People with dementia and their caregivers,Phone: 250-382-2191,Alzheimer Society of BC,Non-Profit,4,5,4,4,5,250-382-2191,vic@alzheimerbc.org,https://www.alzheimerbc.org,Alzheimer Society of BC — Victoria,Program Coordinator,Victoria,Yes,In person/Online,Free,No,Yes,"3994 Shelbourne St, Victoria BC",Verified,2026-04-01
27,Dental Care for Seniors,Health & Home Care,Affordable dental care for low-income seniors — checkups cleaning and necessary treatments at a reduced cost.,Victoria,Low-cost,Low-income seniors 65 and older,Phone: 250-388-6328,Island Health Dental Program,Health Authority,4,3,3,4,4,250-388-6328,,https://www.islandhealth.ca/dental,Island Health,Dental Intake,Victoria Downtown,Yes,In person,Partial pay,No,No,"1952 Bay St, Victoria BC",Verified,2026-04-01
28,Home Repair Program,Housing,Free safety repairs and upgrades for seniors in their own homes — grab bars ramps and accessibility modifications.,Victoria,Free,Low-income homeowners 60 and older,Phone: 1-800-257-7756,BC Housing,Government BC,3,3,4,5,4,1-800-257-7756,homerepair@bchousing.org,https://www.bchousing.org/home-adaptations,BC Housing,Home Repair Team,Greater Victoria,Yes,In person,Free,No,Yes,"3480 Gilmore Way, Burnaby BC",Verified,2026-04-01
29,Volunteer Driver Program,Transportation,Free rides to medical appointments from trained volunteer drivers. They come to your door — no bus needed.,Victoria,Free,Seniors without access to transportation,Phone: 250-477-3535,Volunteer Victoria,Community Source,4,5,4,4,4,250-477-3535,transport@volunteervictoria.bc.ca,https://www.volunteervictoria.bc.ca/volunteer-drivers,Volunteer Victoria,Driver Coordinator,Greater Victoria,Yes,In person,Free,No,No,"851 Broughton St, Victoria BC",Verified,2026-04-01
30,Energy Bill Assistance,Income Support,Help paying electricity heating and utility bills for low-income seniors. Apply once and get ongoing support.,Victoria,Free,Low-income seniors and households,Phone: 1-866-866-0800,BC Hydro,Government BC,3,5,4,4,4,1-866-866-0800,lowincomeenergy@bchydro.com,https://www.bchydro.com/low-income-program,BC Hydro,Low Income Program Team,Greater Victoria,Yes,Online,Free,Yes,Yes,"333 Dunsmuir St, Vancouver BC",Verified,2026-04-01
31,Seniors Computer Classes,Computer Services,Free classes for seniors to learn computers tablets and smartphones. Patient instructors make it easy and fun.,Victoria,Free,Adults and seniors of all experience levels,Phone: 250-384-0613,Victoria Public Library,Education Authority,4,4,4,4,4,250-384-0613,digital@victorialibrary.ca,https://www.victorialibrary.ca/programs/computer-help,Victoria Public Library,Digital Literacy Coordinator,Victoria Downtown,Yes,In person,Free,No,Yes,"735 Broughton St, Victoria BC",Verified,2026-04-01
32,SeniorsBC Digital Learning,Computer Services,Free online guides and videos to help seniors use email internet banking and smartphones safely at home.,Victoria,Free,Seniors of all experience levels,,Province of BC,Government BC,4,4,5,5,5,,info@seniorsbc.ca,https://www.seniorsbc.ca/digital,Province of BC,Digital Help Desk,Greater Victoria,Yes,Online,Free,Yes,Yes,Online — visit seniorsbc.ca/digital,Verified,2026-04-01
33,Friendly Visitor Program,Social Activities,Trained volunteers visit seniors at home for conversation and company. A warm connection for those who feel alone.,Victoria,Free,Isolated seniors,Phone: 250-386-6313,Volunteer Victoria,Community Source,5,5,3,4,4,250-386-6313,friends@volunteervictoria.bc.ca,https://www.volunteervictoria.bc.ca,Volunteer Victoria,Friendly Visitor Coordinator,Victoria,Yes,In person,Free,No,No,"851 Broughton St, Victoria BC",Verified,2026-04-01
34,Senior Abuse Support Line,Emergency,Confidential help for seniors experiencing abuse neglect or money exploitation. Your call is private and safe.,Victoria,Free,Seniors experiencing any form of abuse,Phone: 1-866-437-1940,Seniors First BC,Government/Legal,4,5,4,5,4,1-866-437-1940,info@seniorsfirstbc.ca,https://www.seniorsfirstbc.ca,Seniors First BC,Abuse Support Counsellor,Greater Victoria,Yes,Phone,Free,No,Yes,Phone service — call 1-866-437-1940,Verified,2026-04-01
35,BC Transit Senior Bus Pass,Transportation,Reduced-price monthly bus pass for low-income seniors to travel anywhere on Greater Victoria transit.,Victoria,Low-cost,Low-income seniors 65 and older,Phone: 250-727-7811,BC Transit,Government BC,3,4,5,4,4,250-727-7811,customerservice@bctransit.com,https://www.bctransit.com/victoria/fares/fare-programs/bc-bus-pass,BC Transit,Fare Programs,Greater Victoria,Yes,In person/Online,Partial pay,No,Yes,"520 Gorge Road East, Victoria BC",Verified,2026-04-01
36,Respite Care Services,Health & Home Care,Short-term care for seniors giving family caregivers a much-needed break — at home or in a care facility.,Victoria,Low-cost,Seniors whose caregivers need temporary relief,Phone: 250-370-8699,Island Health,Health Authority,5,3,4,4,3,250-370-8699,,https://www.islandhealth.ca/respite,Island Health,Respite Coordinator,Greater Victoria,Yes,In person,Partial pay,No,Yes,"1952 Bay St, Victoria BC",Verified,2026-04-01
37,Adult Learning Centre,Education,Classes for seniors covering computers English writing and everyday life skills. Welcoming to all levels.,Victoria,Free,Adults and seniors of all ages,Phone: 250-474-0044,School District 62,Education Authority,4,4,4,4,4,250-474-0044,learn@sd62.bc.ca,https://www.sd62.bc.ca/adult-learning,School District 62,Intake Coordinator,Victoria West,Yes,In person,Free,No,No,"3160 Savannah Ave, Victoria BC",Verified,2026-04-01
38,Taxi Saver Program,Transportation,Subsidized taxi vouchers for seniors who cannot use regular transit — for medical appointments and essential errands.,Victoria,Low-cost,Seniors with mobility limitations who cannot use regular transit,Phone: 250-727-7811,BC Transit,BC211,4,4,4,4,4,250-727-7811,,https://www.bctransit.com/victoria/taxi-saver,BC Transit,Taxi Saver Office,Greater Victoria,Yes,In person,Partial pay,No,Yes,"520 Gorge Road East, Victoria BC",Verified,2026-04-01
39,Library Digital Drop-in Help,Computer Services,Drop in to the library for one-on-one help with your phone tablet or computer. No appointment needed — ever.,Victoria,Free,Seniors and adults needing tech help,Phone: 250-413-4700,Victoria Public Library,Education Authority,5,5,5,5,5,250-413-4700,help@victorialibrary.ca,https://www.victorialibrary.ca/programs/digital-help,Victoria Public Library,Digital Help Staff,Victoria Downtown,Yes,In person,Free,No,Yes,"735 Broughton St, Victoria BC",Verified,2026-04-01
40,BC Seniors Guide,Education,The official BC guide explaining all programs for seniors — written in plain clear language. Easy to read.,Victoria,Free,All BC seniors and their families,,Province of BC,Government BC,4,4,5,5,4,,seniors@gov.bc.ca,https://www.seniorsbc.ca,Province of BC,Seniors Helpdesk,Greater Victoria,Yes,Online,Free,Yes,Yes,Online — visit seniorsbc.ca,Verified,2026-04-01
